"date_key","year","month","week","day_of_week","is_weekend","is_holiday","holiday_name","date_key_parsed","bronze_load_ts","bronze_load_dt","source_table"
"01-01-2023","2023","1","52","Sunday","TRUE","TRUE","New Year's Day","2023-01-01","2026-04-13 14:54:39.149 UTC","2026-04-13","date_dim"
"02-01-2023","2023","1","1","Monday","FALSE","TRUE","New Year's Day Observed","2023-01-02","2026-04-13 14:54:39.149 UTC","2026-04-13","date_dim"
"03-01-2023","2023","1","1","Tuesday","FALSE","FALSE",,"2023-01-03","2026-04-13 14:54:39.149 UTC","2026-04-13","date_dim"
"08-01-2023","2023","1","1","Sunday","TRUE","FALSE",,"2023-01-08","2026-04-13 14:54:39.149 UTC","2026-04-13","date_dim"
"09-01-2023","2023","1","2","Monday","FALSE","FALSE",,"2023-01-09","2026-04-13 14:54:39.149 UTC","2026-04-13","date_dim"
"10-01-2023","2023","1","2","Tuesday","FALSE","FALSE",,"2023-01-10","2026-04-13 14:54:39.149 UTC","2026-04-13","date_dim"
"04-01-2023","2023","1","1","Wednesday","FALSE","FALSE",,"2023-01-04","2026-04-13 14:54:39.149 UTC","2026-04-13","date_dim"
"05-01-2023","2023","1","1","Thursday","FALSE","FALSE",,"2023-01-05","2026-04-13 14:54:39.149 UTC","2026-04-13","date_dim"
"06-01-2023","2023","1","1","Friday","FALSE","FALSE",,"2023-01-06","2026-04-13 14:54:39.149 UTC","2026-04-13","date_dim"
"07-01-2023","2023","1","1","Saturday","TRUE","FALSE",,"2023-01-07","2026-04-13 14:54:39.149 UTC","2026-04-13","date_dim"
