"order_id","lineitem_id","option_group_name","option_name","option_price","option_quantity","bronze_load_ts","bronze_load_dt","source_table"
"65d5f5f84163c434ca07d537","65d5f61a561727394c0c7159","Smoothie Add-ons","Add Protein","1.00","1","2026-04-13 15:05:35.294 UTC","2026-04-13","order_item_options"
"65d5f26564d15a0bb30e15bf","65d5f265c33fa5ea010025b8","Bacon Egg And Cheese Options","Add Egg","1.00","1","2026-04-13 15:05:35.294 UTC","2026-04-13","order_item_options"
"65d5f03939bee73acc0e51ea","65d5f04b4d7ee6975a0590e1","Milk Options","Add Whole Milk","0.00","1","2026-04-13 15:05:35.294 UTC","2026-04-13","order_item_options"
"65d5f03939bee73acc0e51ea","65d5f04b4d7ee6975a0590e1","Drip Coffee Options","Add Signature Blend","0.00","1","2026-04-13 15:05:35.294 UTC","2026-04-13","order_item_options"
"65d5f02aca777d6daa07b707","65d5f045e60105890c0361cd","Breakfast Burrito Options","Add Egg","1.00","1","2026-04-13 15:05:35.294 UTC","2026-04-13","order_item_options"
"65d5f02aca777d6daa07b707","65d5f045e60105890c0361cd","Breakfast Burrito Options","No Wrap, Make It A Bowl","0.00","1","2026-04-13 15:05:35.294 UTC","2026-04-13","order_item_options"
"65d5ee5a13734c66ec0c045d","65d5eef9c2b0e1bd410f9082","Avocado Toast Options","Add Smokehouse Bacon","2.00","1","2026-04-13 15:05:35.294 UTC","2026-04-13","order_item_options"
"65d5ee5a13734c66ec0c045d","65d5eef9c2b0e1bd410f9082","Avocado Toast Options","Add Egg","1.00","1","2026-04-13 15:05:35.294 UTC","2026-04-13","order_item_options"
"65d5ed9f1ac3c6c2480eeb55","65d5ee6cf016b1ba9d0ffc6e","Southwest Sausage Egg And Cheese Options","No Chipotle Aioli","0.00","1","2026-04-13 15:05:35.294 UTC","2026-04-13","order_item_options"
"65d5ed9f1ac3c6c2480eeb55","65d5ee6cf016b1ba9d0ffc6e","Southwest Sausage Egg And Cheese Options","No Pico De Gallo","0.00","1","2026-04-13 15:05:35.294 UTC","2026-04-13","order_item_options"
