"date_key","year","month","week","day_of_week","is_weekend","is_holiday","holiday_name","date_key_parsed","bronze_load_ts","bronze_load_dt","source_table"
"31-12-2023","2023","12","52","Sunday","TRUE","FALSE",,"2023-12-31","2026-04-13 14:54:39.149 UTC","2026-04-13","date_dim"
"31-10-2023","2023","10","44","Tuesday","FALSE","FALSE",,"2023-10-31","2026-04-13 14:54:39.149 UTC","2026-04-13","date_dim"
"31-08-2023","2023","8","35","Thursday","FALSE","FALSE",,"2023-08-31","2026-04-13 14:54:39.149 UTC","2026-04-13","date_dim"
"31-07-2023","2023","7","31","Monday","FALSE","FALSE",,"2023-07-31","2026-04-13 14:54:39.149 UTC","2026-04-13","date_dim"
"31-05-2023","2023","5","22","Wednesday","FALSE","FALSE",,"2023-05-31","2026-04-13 14:54:39.149 UTC","2026-04-13","date_dim"
"31-03-2023","2023","3","13","Friday","FALSE","FALSE",,"2023-03-31","2026-04-13 14:54:39.149 UTC","2026-04-13","date_dim"
"31-01-2023","2023","1","5","Tuesday","FALSE","FALSE",,"2023-01-31","2026-04-13 14:54:39.149 UTC","2026-04-13","date_dim"
"30-12-2023","2023","12","52","Saturday","TRUE","FALSE",,"2023-12-30","2026-04-13 14:54:39.149 UTC","2026-04-13","date_dim"
"30-11-2023","2023","11","48","Thursday","FALSE","FALSE",,"2023-11-30","2026-04-13 14:54:39.149 UTC","2026-04-13","date_dim"
"30-10-2023","2023","10","44","Monday","FALSE","FALSE",,"2023-10-30","2026-04-13 14:54:39.149 UTC","2026-04-13","date_dim"
